"","Recording_ID","Genus","Specific_epithet","Subspecies","English_name","Recordist","Country","Locality","Latitude","Longitude","Vocalization_type","Audio_file","License","Url","Quality","Time","Date"
"1","441880","Parus","major","","Great Tit","Gerda van Deelen","Netherlands","Amersfoort, Amersfoort, Utrecht","52.1468","5.3788","alarm call","//www.xeno-canto.org/441880/download","//creativecommons.org/licenses/by-nc-sa/4.0/","https://www.xeno-canto.org/441880","no score","09:00","2018-11-10"
"2","440223","Parus","major","corsus","Great Tit","Nicolas Martinez","France","Algajola, Haute-Corse, Corse","42.608","8.861","call","//www.xeno-canto.org/440223/download","//creativecommons.org/licenses/by-nc-sa/4.0/","https://www.xeno-canto.org/440223","no score","09:30","2018-10-03"
"3","440205","Parus","major","","Great Tit","Frank Roos","Netherlands","Maarssen, Maarssen, Utrecht","52.1331","5.0489","begging call","//www.xeno-canto.org/440205/download","//creativecommons.org/licenses/by-nc-sa/4.0/","https://www.xeno-canto.org/440205","no score","14:00","2018-06-09"
"4","439558","Parus","major","","Great Tit","Alain Verneau","France","Théville, Manche, Normandie","49.6682","-1.4283","song","//www.xeno-canto.org/439558/download","//creativecommons.org/licenses/by-nc-sa/4.0/","https://www.xeno-canto.org/439558","no score","18:00","2018-06-04"
"5","439316","Parus","major","","Great Tit","Nicolas Martinez","France","Algajola, Haute-Corse, Corse","42.608","8.861","call","//www.xeno-canto.org/439316/download","//creativecommons.org/licenses/by-nc-sa/4.0/","https://www.xeno-canto.org/439316","no score","11:00","2018-10-06"
"6","437205","Parus","major","","Great Tit","Thomas Burfin","Portugal","São João das Lampas, Sintra, Lisboa","38.8931","-9.4301","call, juvenile","//www.xeno-canto.org/437205/download","//creativecommons.org/licenses/by-nc-sa/4.0/","https://www.xeno-canto.org/437205","no score","09:00","2018-09-29"
"7","436405","Parus","major","","Great Tit","Jorge Leitão","Netherlands","Genneper Parken, Eindhoven, Noord-Brabant","51.4213","5.4732","call","//www.xeno-canto.org/436405/download","//creativecommons.org/licenses/by-nc-sa/4.0/","https://www.xeno-canto.org/436405","no score","09:35","2018-09-13"
"8","435572","Parus","major","","Great Tit","Jorge Leitão","Netherlands","Genneper Parken, Eindhoven, Noord-Brabant","51.4213","5.4732","call","//www.xeno-canto.org/435572/download","//creativecommons.org/licenses/by-nc-sa/4.0/","https://www.xeno-canto.org/435572","no score","09:46","2018-09-14"
"9","434811","Parus","major","major","Great Tit","Patrick Franke","Germany","Flachwasserzone Mannhausen","52.425556","11.196667","plastic song","//www.xeno-canto.org/434811/download","//creativecommons.org/licenses/by-nc-nd/4.0/","https://www.xeno-canto.org/434811","no score","13:49","2017-02-12"
"10","443871","Parus","major","","Great Tit","Karl-Birger Strann","Norway","Balsfjord kommune, Troms","69.287","19.0246","alarm call, male","//www.xeno-canto.org/443871/download","//creativecommons.org/licenses/by-nc-sa/4.0/","https://www.xeno-canto.org/443871","A","06:30","2016-04-02"
